"","m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.02,10,2.00002000040001,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10
"2",0.02,10,2.00002000040001,40,10,11,11,12,10,10,10,10,11,10,10,11,12,11,10,11,10,10,10,10,10,10,10,12,10,11,11,11,11,10,10,11,11,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,11,10,11,10,10,10,10,10,10,10,10,10,10,11,10,10,11,10,11,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,11,10,10,10,10,10,10,10,10,11,11,11,11,10.3232323232323,0.0552878616469495,10.33
"3",0.02,10,2.00002000040001,90,10,11,13,10,10,12,12,11,11,11,13,15,10,10,11,10,11,10,12,10,12,11,11,11,10,10,10,10,10,11,10,12,11,11,11,10,11,11,10,10,10,11,10,10,14,10,11,10,11,11,11,10,11,10,11,12,10,13,10,10,12,11,11,11,10,10,12,14,10,10,10,10,10,10,10,10,11,12,10,10,10,10,10,10,10,11,10,12,10,11,12,11,11,10,11,10,11,11,11,11,10.7979797979798,0.101503638643977,10.92
"4",0.02,10,2.00002000040001,160,11,12,11,12,11,10,12,11,11,10,11,11,10,10,11,13,12,12,11,10,11,12,14,11,10,12,12,11,12,10,14,13,11,11,11,11,11,11,12,11,11,10,10,10,15,10,11,13,12,12,10,10,11,14,12,12,11,12,10,12,10,11,12,11,11,10,13,15,11,11,11,12,13,12,11,12,12,13,10,13,10,12,11,11,12,10,10,12,11,12,10,11,10,11,12,10,10,12,11,11,11.3434343434343,0.114106656412521,11.61
"5",0.02,10,2.00002000040001,250,13,12,12,13,13,12,13,11,13,12,14,13,12,11,12,12,10,13,12,10,11,11,14,13,11,14,15,12,11,10,14,13,13,12,13,14,13,14,10,11,11,12,11,12,14,10,11,12,12,12,14,12,11,12,12,13,13,15,10,13,11,11,12,13,11,12,13,14,11,11,13,14,13,12,15,13,10,14,12,12,16,12,12,12,12,11,14,13,11,11,10,12,11,12,12,10,12,11,11,11,12.1616161616162,0.131360694175414,12.28
"6",0.02,10,2.00002000040001,360,15,14,14,12,15,13,13,11,13,12,14,13,11,11,13,13,12,17,12,10,12,15,11,13,11,12,18,12,16,12,16,14,14,12,12,12,14,12,11,12,12,13,11,10,14,13,12,15,12,13,14,13,13,13,11,17,13,15,11,14,11,12,17,12,11,12,14,16,13,12,12,11,15,13,16,14,11,13,13,13,15,13,11,14,12,10,15,15,13,10,13,10,11,12,13,10,15,12,15,13,12.8888888888889,0.175192498825699,12.89
"7",0.02,10,2.00002000040001,490,13,14,13,15,12,14,14,13,13,12,14,14,12,10,13,16,11,15,16,11,13,14,12,12,12,16,18,13,16,12,16,15,17,13,14,13,14,14,12,11,13,13,11,11,17,13,12,15,12,13,13,13,14,15,14,13,15,13,12,16,11,13,15,13,14,11,15,18,14,14,12,13,15,11,15,16,13,13,13,12,14,14,15,14,14,11,13,16,12,14,11,12,12,14,13,11,15,16,14,13,13.4949494949495,0.168892824301519,13.44
"8",0.02,10,2.00002000040001,640,13,14,16,15,12,13,15,13,13,13,16,16,12,13,13,16,11,12,13,11,14,16,16,13,12,13,20,13,16,15,17,17,14,14,17,17,16,12,16,13,12,12,10,12,19,14,14,15,14,15,15,13,11,14,12,16,15,15,10,15,11,12,15,14,15,13,17,18,13,15,14,13,16,13,16,14,13,19,15,12,14,16,11,13,13,10,13,14,13,13,14,12,12,11,15,10,14,15,17,17,14,0.209051021084842,13.94
"9",0.02,10,2.00002000040001,810,14,13,16,15,14,12,16,12,13,14,14,16,14,12,13,15,11,14,16,10,14,17,15,13,12,15,24,12,16,14,17,16,15,16,14,14,14,13,14,16,13,15,12,11,22,12,13,16,13,15,14,13,15,14,13,18,15,16,11,17,13,13,17,17,15,12,18,17,17,15,15,15,17,12,16,15,12,16,15,14,17,20,13,13,15,12,13,16,13,16,12,15,13,13,16,13,16,13,16,16,14.5555555555556,0.222993918799428,14.39
"10",0.02,10,2.00002000040001,1000,12,14,16,15,12,16,15,16,14,12,19,16,12,12,13,13,12,15,17,11,14,15,15,14,14,16,21,11,14,13,17,15,18,15,13,15,15,16,13,14,13,15,11,12,21,14,13,17,16,16,15,14,15,18,13,19,16,16,12,18,12,14,18,16,15,14,17,20,15,17,16,14,19,14,16,16,13,15,16,14,18,19,14,15,16,12,14,16,13,15,15,15,15,12,13,10,14,15,17,17,14.9292929292929,0.221151446587798,14.79
