"","arch_num","theta","niches","immigration","area","species","model_species","difference"
"1",1,101010.090909091,1,0.003,1,4.5,1,3.5
"2",1,101010.090909091,1,0.003,2,3.8,1.01,2.79
"3",1,101010.090909091,1,0.003,3,1.7,1.01,0.69
"4",1,101010.090909091,1,0.003,4,1.6,1.02,0.58
"5",1,101010.090909091,1,0.003,5,2.5,1.03,1.47
"6",1,101010.090909091,1,0.003,6,2.5,1.04,1.46
"7",1,101010.090909091,1,0.003,7,2.1,1.05,1.05
"8",1,101010.090909091,1,0.003,8,1.4,1.06,0.34
"9",1,101010.090909091,1,0.003,9,1.3,1.07,0.23
"10",1,101010.090909091,1,0.003,10,1.3,1.08,0.22
"11",1,101010.090909091,1,0.003,11,1.6,1.1,0.5
"12",1,101010.090909091,1,0.003,12,1.4,1.11,0.29
"13",1,101010.090909091,1,0.003,13,3.4,1.12,2.28
"14",1,101010.090909091,1,0.003,14,2.1,1.13,0.97
"15",1,101010.090909091,1,0.003,15,2.1,1.14,0.96
"16",1,101010.090909091,1,0.003,16,1.6,1.16,0.44
"17",1,101010.090909091,1,0.003,17,1.9,1.17,0.73
"18",1,101010.090909091,1,0.003,18,1.7,1.18,0.52
"19",1,101010.090909091,1,0.003,19,2,1.19,0.81
"20",1,101010.090909091,1,0.003,20,1.2,1.21,-0.01
"21",1,101010.090909091,1,0.003,21,1.4,1.22,0.18
"22",1,101010.090909091,1,0.003,22,3.1,1.23,1.87
"23",1,101010.090909091,1,0.003,23,1.2,1.25,-0.05
"24",1,101010.090909091,1,0.003,24,2.1,1.26,0.84
"25",1,101010.090909091,1,0.003,25,2.5,1.28,1.22
"26",1,101010.090909091,1,0.003,26,1.9,1.29,0.61
"27",1,101010.090909091,1,0.003,27,1.3,1.3,0
"28",1,101010.090909091,1,0.003,28,2,1.32,0.68
"29",1,101010.090909091,1,0.003,29,1.5,1.33,0.17
"30",1,101010.090909091,1,0.003,30,1.9,1.35,0.55
"31",2,101010.090909091,2,0.003,2,6.6,2,4.6
"32",2,101010.090909091,2,0.003,4,4.6,2.01,2.59
"33",2,101010.090909091,2,0.003,6,4.9,2.03,2.87
"34",2,101010.090909091,2,0.003,8,4.9,2.04,2.86
"35",2,101010.090909091,2,0.003,10,2.9,2.06,0.84
"36",2,101010.090909091,2,0.003,12,4.6,2.08,2.52
"37",2,101010.090909091,2,0.003,14,5.9,2.1,3.8
"38",2,101010.090909091,2,0.003,16,3.6,2.12,1.48
"39",2,101010.090909091,2,0.003,18,5.7,2.15,3.55
"40",2,101010.090909091,2,0.003,20,3.6,2.17,1.43
"41",2,101010.090909091,2,0.003,22,2.6,2.19,0.41
"42",2,101010.090909091,2,0.003,24,2.7,2.21,0.49
"43",2,101010.090909091,2,0.003,26,4.3,2.24,2.06
"44",2,101010.090909091,2,0.003,28,3.4,2.26,1.14
"45",2,101010.090909091,2,0.003,30,2.6,2.29,0.31
"46",2,101010.090909091,2,0.003,32,3.4,2.31,1.09
"47",2,101010.090909091,2,0.003,34,2.6,2.34,0.26
"48",2,101010.090909091,2,0.003,36,2.7,2.36,0.34
"49",2,101010.090909091,2,0.003,38,2.9,2.39,0.51
"50",2,101010.090909091,2,0.003,40,2.9,2.42,0.48
"51",2,101010.090909091,2,0.003,42,2.9,2.44,0.46
"52",2,101010.090909091,2,0.003,44,2.8,2.47,0.33
"53",2,101010.090909091,2,0.003,46,3,2.5,0.5
"54",2,101010.090909091,2,0.003,48,3.3,2.52,0.78
"55",2,101010.090909091,2,0.003,50,5.6,2.55,3.05
"56",2,101010.090909091,2,0.003,52,3.7,2.58,1.12
"57",2,101010.090909091,2,0.003,54,4.2,2.61,1.59
"58",2,101010.090909091,2,0.003,56,3.1,2.63,0.47
"59",2,101010.090909091,2,0.003,58,3,2.66,0.34
"60",2,101010.090909091,2,0.003,60,2.6,2.69,-0.0899999999999999
"61",3,101010.090909091,3,0.003,3,11.4,3,8.4
"62",3,101010.090909091,3,0.003,6,7.6,3.02,4.58
"63",3,101010.090909091,3,0.003,9,5.2,3.04,2.16
"64",3,101010.090909091,3,0.003,12,4.5,3.07,1.43
"65",3,101010.090909091,3,0.003,15,5.1,3.09,2.01
"66",3,101010.090909091,3,0.003,18,5.2,3.12,2.08
"67",3,101010.090909091,3,0.003,21,5.7,3.15,2.55
